體育台,#genre#
東森財經新聞台,http://50.7.238.114:8278/ettvcaijing_twn/playlist.m3u8?tid=m999b5a0f7fca17599138&ct=17874&tsum=345085d2d6d4401fdb3da968dfee5a54
東森新聞台,http://211.23.114.106:8510/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
東森新聞台,http://81.69.20.196/mqlive.m3u8?ip=61.220.72.26:1888&id=live1014
東森新聞台,http://www.terrykang.xyz:35455/youtube/S5WOGu2HSes
東森新聞台,http://50.7.238.114:8278/ettvnews/playlist.m3u8?tid=m1785954e5a67&ct=18336&tsum=ce82c650c85a63fe1ead9e30f2d4bfb4
東森新聞台,http://211.72.65.236:8540/http/60.251.39.91:8081/hls/63/805/ch10.m3u8
東森新聞台,https://epg.pw/stream/d6cad1cb0bdc2192885f5fb7689d8234c282c7f07401c1093a000ab83142bd95.m3u8
非凡新聞台,http://81.69.20.196/mqlive.m3u8?ip=61.220.72.26:1888&id=live1013
非凡新聞台,http://125.227.210.55:28993/VideoInput/play.ts
民視新聞台,http://www.terrykang.xyz:35455/youtube/ylYJSBUgaMA
民視新聞台,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民視新聞台,http://81.69.20.196/mqlive.m3u8?ip=61.220.72.26:1888&id=live1204
民視新聞台,http://tv.redrainl.site:9500/live.m3u8?c=01
民視新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
民視新聞台,http://50.7.238.114:8278/ftvnew_taiwan/playlist.m3u8?tid=MA7A6968320369683203&ct=19249&tsum=e3b040434ed43f12a738964a100a0e59
年代新聞台,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
年代新聞台,http://211.72.65.236:8539/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
年代新聞台,http://81.69.20.196/mqlive.m3u8?ip=61.220.72.26:1888&id=live1192
年代新聞台,http://81.69.20.196/mqlive.m3u8?ip=61.216.26.165:1888&id=live1077
三立新聞台,http://81.69.20.196/mqlive.m3u8?ip=61.216.26.165:1888&id=live1079
三立新聞台,http://81.69.20.196/mqlive.m3u8?ip=61.220.72.26:1888&id=live1016
三立新聞台,http://125.227.210.55:35238/VideoInput/play.ts
台視新聞台,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台視新聞台,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台視新聞台,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
台視新聞台,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
台視新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
台視新聞台,http://www.terrykang.xyz:35455/youtube/xL0ch83RAK8
中視新聞台,http://tv.redrainl.site:9500/live.m3u8?c=02
中視新聞台,https://ytm2.yuanhsing.cf/twctvnews.m3u8
中視新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
中視新聞台,https://epg.pw/stream/82f32d75a3fc48001b26514205937c92561b5540c3d1f21b644c86c17dd4ea63.m3u8
中視新聞台,https://epg.pw/stream/f8ad1eb12189e18cad93d48f8a20fba513d8a54d48c100000486ad1062ccb290.m3u8
中視新聞台,http://www.terrykang.xyz:35455/youtube/TCnaIE_SAtM
中視新聞台,http://38.207.160.104:11012/live.php?date=231108&id=ctv-news
中視新聞台,http://198.16.100.90:8278/ca73a13c37/playlist.m3u8?tid=mee3f06f682eb&ct=18335&tsum=7491cceca17c1e2af05824583855f8bd
中視新聞台,http://50.7.238.114:8278/zhongshinews_twn/playlist.m3u8?tid=MAAA4459856044598560&ct=19193&tsum=1b7bdea69c00cd48e31f13442c75c376
中視新聞台,http://198.16.100.90:8278/zhongshinews_twn/playlist.m3u8?tid=MD0D3377711133777111&ct=19249&tsum=ffaee3fe7040c96643b3c7f12bf2de8d
TVBS新聞台,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS新聞台,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
TVBS新聞台,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8?$1920x1080
TVBS新聞台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV31.m3u8
TVBS新聞台,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS新聞台,http://38.64.72.148/hls/modn/list/4006/playlist.m3u8

戲劇台,#genre#
東森戲劇台,http://198.16.100.90:8278/ettvdrama/playlist.m3u8?tid=MA2A9945921599459215&ct=19249&tsum=c9097ecdf4a17c0922196dbf04b0c6e7
東森戲劇台,http://50.7.238.114:8278/ettvdrama/playlist.m3u8?tid=m921dcb630ebe17354109&ct=17874&tsum=695370160923af940d1a90d44c262acc
東森戲劇台,http://198.16.100.90:8278/ettvdrama/playlist.m3u8?tid=ME1E3883142638831426&ct=19225&tsum=12c87a5fab65a0ba071cebce86313f45

動畫台,#genre#
靖天卡通台,http://198.16.100.90:8278/jingtiancartoon_twn/playlist.m3u8?tid=m1465dab025b5&ct=18335&tsum=ba935e583d90bfbe1d1d9662e9ac600c
Animax,http://81.69.20.196/mqlive.m3u8?ip=61.220.72.26:1888&id=live1060
